,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OR,FALSE,,21,"Subject to section 4(4)(b) of the Act, the suicide or attempted suicide of the individual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OR,FALSE,,22,"Domestic abuse, child abuse or sexual abuse involving or alleged to involve the individual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OR,FALSE,,23,Any of the following:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,23.a,"information that the individual is or had been adopted pursuant to an adoption order made under the Adoption of Children Act (Cap. 4), or is or had been the subject of an application for an adoption order;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,OR,FALSE,23.b,the identity of the natural father or mother of the individual;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,OR,FALSE,23.c,the identity of the adoptive father or mother of the individual;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,OR,FALSE,23.d,the identity of any applicant for an adoption order;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,OR,FALSE,23.e,"the identity of any person whose consent is necessary under that Act for an adoption order to be made, whether or not the court has dispensed with the consent of that person in accordance with that Act;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,OR,FALSE,23.f,any other information that the individual is or had been an adopted child or relating to the adoption of the individual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
